scenario,n_sample,mechanism,condition,null_case,beta_treat,beta_int,method,n_reps,true_effect,bias,mcse_bias,rmse,mcse_rmse,coverage,mcse_coverage,type1,mcse_type1,obs_rate,p_hat_min,p_hat_med,p_hat_max,w_max,ess,trunc_frac
N700_MNARmod_missing_misspec_ALT,700,MNARmod,missing_misspec,False,0.45,0.28,CC,250,0.41382823521152323,-0.08972733536412686,0.01149746822487961,0.20240243781015443,0.008841250630447467,0.92,0.01715808847162177,,,0.7042971428571428,,,,,,
N700_MNARmod_missing_misspec_ALT,700,MNARmod,missing_misspec,False,0.45,0.28,OM,250,0.41382823521152323,-0.04665856883641759,0.0106910865597759,0.17503586967016024,0.00834910878895102,0.948,0.014042222046385685,,,0.7042971428571428,,,,,,
N700_MNARmod_missing_misspec_ALT,700,MNARmod,missing_misspec,False,0.45,0.28,IPW,250,0.41382823521152323,-0.08646825758733742,0.013871143357795398,0.2353433777807769,0.011129846664504945,0.944,0.014541526742402262,,,0.7042971428571428,0.5172749061133446,0.7138432940694431,0.8210207384381004,1.9710310711316203,489.6902490928656,0.0
N700_MNARmod_missing_misspec_ALT,700,MNARmod,missing_misspec,False,0.45,0.28,AIPW,250,0.41382823521152323,-0.04700348315215178,0.010691341361445785,0.17513200071679652,0.008132823306084778,0.948,0.014042222046385685,,,0.7042971428571428,0.5172749061133446,0.7138432940694431,0.8210207384381004,1.9710310711316203,489.6902490928656,0.0
N700_MNARmod_missing_misspec_NULL,700,MNARmod,missing_misspec,True,0.0,0.0,CC,250,0.0,-0.07478384211500898,0.012497018219102023,0.21090356485668038,0.00936454536746431,0.908,0.018279606122671238,0.092,0.01827960612267124,0.7088,,,,,,
N700_MNARmod_missing_misspec_NULL,700,MNARmod,missing_misspec,True,0.0,0.0,OM,250,0.0,-0.06780014681382665,0.012126554947816965,0.2030101975238684,0.009061171249477086,0.92,0.01715808847162177,0.08,0.017158088471621775,0.7088,,,,,,
N700_MNARmod_missing_misspec_NULL,700,MNARmod,missing_misspec,True,0.0,0.0,IPW,250,0.0,-0.07293289579563875,0.014237068156206118,0.23619915452974763,0.010068106805508337,0.936,0.01547953487673321,0.064,0.015479534876733215,0.7088,0.5250040107605956,0.7178886537468595,0.8201948792390383,1.9397802389952312,493.0982994765697,0.0
N700_MNARmod_missing_misspec_NULL,700,MNARmod,missing_misspec,True,0.0,0.0,AIPW,250,0.0,-0.06811640936593931,0.012213863737439087,0.2044144897180576,0.009050973676832328,0.916,0.017543545821754502,0.084,0.01754354582175451,0.7088,0.5250040107605956,0.7178886537468595,0.8201948792390383,1.9397802389952312,493.0982994765697,0.0
N700_MNARmod_outcome_misspec_ALT,700,MNARmod,outcome_misspec,False,0.45,0.28,CC,250,0.41382823521152323,-0.07831287814158648,0.0124450515561007,0.2114186714391283,0.00929233565177906,0.888,0.0199455258140767,,,0.7008171428571428,,,,,,
N700_MNARmod_outcome_misspec_ALT,700,MNARmod,outcome_misspec,False,0.45,0.28,OM,250,0.41382823521152323,-0.06077414963097337,0.011639482630439249,0.19346164654405762,0.008139065520643628,0.924,0.016759952267235128,,,0.7008171428571428,,,,,,
